# YYYY MM DD  Total  North  South
# Time base:   1
# Time unit:   d
# Point count: 51728
# ./cyclasar filter 0 0.001 10 sar-1880-2021.tsv filtered-sar-1880-2021.tsv
t/a	At/µhsp
1880.006835938	317.208587646
1880.009521484	317.810213853
1880.012329102	318.412831881
1880.015014648	319.016350177
1880.017700195	319.620326237
1880.020507812	320.225828176
1880.023193359	320.831650550
1880.026000977	321.438602073
1880.028686523	322.046392831
1880.031372070	322.655068598
1880.034179688	323.264598857
1880.036865234	323.874495327
1880.039672852	324.485948194
1880.042358398	325.097736754
1880.045043945	325.710272995
1880.047851562	326.324136750
1880.050537109	326.938641374
1880.053222656	327.554183597
1880.056030273	328.169939442
1880.058715820	328.787175389
1880.061523438	329.405036948
1880.064208984	330.023234199
1880.066894531	330.642820000
1880.069702148	331.262680460
1880.072387695	331.884158351
1880.075195312	332.505773571
1880.077880859	333.128594235
1880.080566406	333.751796370
1880.083374023	334.375761443
1880.086059570	335.001221878
1880.088745117	335.626972230
1880.091552734	336.253561816
1880.094238281	336.880822788
1880.097045898	337.509045064
1880.099731445	338.138396490
1880.102416992	338.767778434
1880.105224609	339.398396339
1880.107910156	340.029365197
1880.110595703	340.661859934
1880.113403320	341.294614070
1880.116088867	341.928100628
1880.118896484	342.562167020
1880.121582031	343.197454116
1880.124267578	343.833229492
1880.127075195	344.470149278
1880.129760742	345.107130098
1880.132568359	345.745560504
1880.135253906	346.384265568
1880.137939453	347.023809865
1880.140747070	347.664147620
1880.143432617	348.305248314
1880.146118164	348.947066170
1880.148925781	349.589524897
1880.151611328	350.232838115
1880.154418945	350.876868496
1880.157104492	351.521402417
1880.159790039	352.166989195
1880.162597656	352.813003219
1880.165283203	353.459841218
1880.168090820	354.107091203
1880.170776367	354.755317752
1880.173461914	355.404368275
1880.176269531	356.053815526
1880.178955078	356.704330893
1880.181640625	357.355075141
1880.184448242	358.006811211
1880.187133789	358.659203409
1880.189941406	359.312099146
1880.192626953	359.965803600
1880.195312500	360.620301511
1880.198120117	361.275104597
1880.200805664	361.930960540
1880.203491211	362.587213211
1880.206298828	363.244244081
1880.208984375	363.902114184
1880.211791992	364.560228427
1880.214477539	365.219258198
1880.217163086	365.878593145
1880.219970703	366.539057242
1880.222656250	367.199826515
1880.225463867	367.861267175
1880.228149414	368.523592844
1880.230834961	369.186254207
1880.233642578	369.849831097
1880.236328125	370.513713163
1880.239013672	371.178114028
1880.241821289	371.843247314
1880.244506836	372.508960435
1880.247314453	373.175772188
1880.250000000	373.842217731
1880.252685547	374.510433293
1880.255493164	375.178252126
1880.258178711	375.847474768
1880.260986328	376.516697410
1880.263671875	377.186927132
1880.266357422	377.857248407
1880.269165039	378.528149516
1880.271850586	379.200057705
1880.274536133	379.872362622
1880.277343750	380.544942198
1880.280029297	381.218284713
1880.282836914	381.892115509
1880.285522461	382.566587175
1880.288208008	383.241669192
1880.291015625	383.917300525
1880.293701172	384.593511693
1880.296508789	385.269844931
1880.299194336	385.947246284
1880.301879883	386.624495049
1880.304687500	387.302872964
1880.307373047	387.981739161
1880.310058594	388.661276744
1880.312866211	389.340936398
1880.315551758	390.021297956
1880.318359375	390.701628997
1880.321044922	391.383028153
1880.323730469	392.064640931
1880.326538086	392.747138720
1880.329223633	393.429728061
1880.331909180	394.113080342
1880.334716797	394.796890386
1880.337402344	395.481158194
1880.340209961	396.165609108
1880.342895508	396.850975549
1880.345581055	397.536799753
1880.348388672	398.222562923
1880.351074219	398.908905926
1880.353881836	399.596072904
1880.356567383	400.283209364
1880.359252930	400.971108764
1880.362060547	401.659587998
1880.364746094	402.348402925
1880.367431641	403.037736651
1880.370239258	403.726978825
1880.372924805	404.417350148
1880.375732422	405.107477331
1880.378417969	405.798611595
1880.381103516	406.489745858
1880.383911133	407.181185297
1880.386596680	407.873570781
1880.389404297	408.566230923
1880.392089844	409.259226758
1880.394775391	409.952192076
1880.397583008	410.646347579
1880.400268555	411.340136872
1880.402954102	412.034628068
1880.405761719	412.729180300
1880.408447266	413.424709095
1880.411254883	414.120115819
1880.413940430	414.816254965
1880.416625977	415.512638251
1880.419433594	416.209235161
1880.422119141	416.906045694
1880.424804688	417.603497095
1880.427612305	418.301192638
1880.430297852	418.999010251
1880.433105469	419.697346662
1880.435791016	420.396079802
1880.438476562	421.095179153
1880.441284180	421.794217469
1880.443969727	422.494232348
1880.446777344	423.194155673
1880.449462891	423.894780903
1880.452148438	424.595161993
1880.454956055	425.296153433
1880.457641602	425.997236427
1880.460327148	426.698838219
1880.463134766	427.400745188
1880.465820312	428.102743709
1880.468627930	428.805138958
1880.471313477	429.507839383
1880.473999023	430.210478774
1880.476806641	430.914125244
1880.479492188	431.617680161
1880.482299805	432.320716280
1880.484985352	433.025217242
1880.487670898	433.729443546
1880.490478516	434.433822438
1880.493164062	435.138414953
1880.495849609	435.843648338
1880.498657227	436.548820687
1880.501342773	437.254084589
1880.504150391	437.959897807
1880.506835938	438.665588955
1880.509521484	439.371982007
1880.512329102	440.078222471
1880.515014648	440.785103805
1880.517700195	441.491588410
1880.520507812	442.198652849
1880.523193359	442.906114016
1880.526000977	443.613208973
1880.528686523	444.320700658
1880.531372070	445.028619589
1880.534179688	445.736538520
1880.536865234	446.444365898
1880.539672852	447.152803628
1880.542358398	447.861271876
1880.545043945	448.570106334
1880.547851562	449.278879757
1880.550537109	449.987958356
1880.553222656	450.697067473
1880.556030273	451.406420730
1880.558715820	452.115438294
1880.561523438	452.825035692
1880.564208984	453.534846713
1880.566894531	454.244810322
1880.569702148	454.955079107
1880.572387695	455.664798575
1880.575195312	456.375006324
1880.577880859	457.085275109
1880.580566406	457.795940622
1880.583374023	458.506514583
1880.586059570	459.217363201
1880.588745117	459.927906644
1880.591552734	460.638999403
1880.594238281	461.350305786
1880.597045898	462.061001816
1880.599731445	462.772399751
1880.602416992	463.483553546
1880.605224609	464.194737858
1880.607910156	464.906196828
1880.610595703	465.617838904
1880.613403320	466.329267356
1880.616088867	467.040939949
1880.618896484	467.752551507
1880.621582031	468.464498759
1880.624267578	469.175988247
1880.627075195	469.888118603
1880.629760742	470.600065855
1880.632568359	471.312043624
1880.635253906	472.023746735
1880.637939453	472.735755021
1880.640747070	473.448312624
1880.643432617	474.160381946
1880.646118164	474.872024022
1880.648925781	475.584459554
1880.651611328	476.296345771
1880.654418945	477.008720268
1880.657104492	477.720545449
1880.659790039	478.433103052
1880.662597656	479.145141856
1880.665283203	479.857363766
1880.668090820	480.569555158
1880.670776367	481.281929656
1880.673461914	481.993663284
1880.676269531	482.706068299
1880.678955078	483.418290209
1880.681640625	484.130206943
1880.684448242	484.842337299
1880.687133789	485.554101445
1880.689941406	486.266262320
1880.692626953	486.978331642
1880.695312500	487.690156823
1880.698120117	488.401920969
1880.700805664	489.113715632
1880.703491211	489.825296673
1880.706298828	490.537335477
1880.708984375	491.248367201
1880.711791992	491.960253417
1880.714477539	492.671681870
1880.717163086	493.383171358
1880.719970703	494.094386187
1880.722656250	494.805936710
1880.725463867	495.517487233
1880.728149414	496.228152746
1880.730834961	496.939306541
1880.733642578	497.650063606
1880.736328125	498.361186883
1880.739013672	499.071364115
1880.741821289	499.782426357
1880.744506836	500.492817212
1880.747314453	501.203269102
1880.750000000	501.913598922
1880.752685547	502.623745636
1880.755493164	503.334105973
1880.758178711	504.043916994
1880.760986328	504.753666980
1880.763671875	505.463416966
1880.766357422	506.172831258
1880.769165039	506.882123480
1880.771850586	507.591720878
1880.774536133	508.300616372
1880.777343750	509.009969629
1880.780029297	509.718620982
1880.782836914	510.427577511
1880.785522461	511.136045759
1880.788208008	511.844300383
1880.791015625	512.552555008
1880.793701172	513.260351868
1880.796508789	513.968575975
1880.799194336	514.676189731
1880.801879883	515.383803486
1880.804687500	516.091051030
1880.807373047	516.798268057
1880.810058594	517.505424049
1880.812866211	518.212366417
1880.815551758	518.918759470
1880.818359375	519.625518733
1880.821044922	520.331698162
1880.823730469	521.037908109
1880.826538086	521.743721327
