# Time base:   30.44
# Time unit:   d
# Global Land and Ocean Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
# Missing: -999
# Year,Value
t/a	∆𝜗/°C
1880.04235	-0.060
1880.12432	-0.150
1880.20628	-0.090
1880.28962	-0.050
1880.37295	-0.090
1880.45628	-0.130
1880.53962	-0.130
1880.62432	-0.070
1880.70765	-0.110
1880.79098	-0.240
1880.87432	-0.240
1880.95765	-0.110
1881.04247	-0.090
1881.12329	-0.060
1881.20411	0.050
1881.28767	0.070
1881.37123	0.030
1881.45479	-0.120
1881.53836	-0.070
1881.62329	-0.060
1881.70685	-0.170
1881.79041	-0.300
1881.87397	-0.270
1881.95753	-0.040
1882.04247	0.080
1882.12329	0.020
1882.20411	-0.010
1882.28767	-0.150
1882.37123	-0.140
1882.45479	-0.140
1882.53836	-0.120
1882.62329	-0.080
1882.70685	-0.100
1882.79041	-0.230
1882.87397	-0.150
1882.95753	-0.160
1883.04247	-0.280
1883.12329	-0.360
1883.20411	-0.190
1883.28767	-0.200
1883.37123	-0.160
1883.45479	0.000
1883.53836	-0.110
1883.62329	-0.120
1883.70685	-0.180
1883.79041	-0.220
1883.87397	-0.240
1883.95753	-0.140
1884.04235	-0.230
1884.12432	-0.190
1884.20628	-0.290
1884.28962	-0.280
1884.37295	-0.220
1884.45628	-0.260
1884.53962	-0.320
1884.62432	-0.290
1884.70765	-0.280
1884.79098	-0.270
1884.87432	-0.350
1884.95765	-0.240
1885.04247	-0.450
1885.12329	-0.300
1885.20411	-0.250
1885.28767	-0.290
1885.37123	-0.310
1885.45479	-0.310
1885.53836	-0.260
1885.62329	-0.290
1885.70685	-0.260
1885.79041	-0.200
1885.87397	-0.140
1885.95753	0.010
1886.04247	-0.180
1886.12329	-0.320
1886.20411	-0.290
1886.28767	-0.190
1886.37123	-0.190
1886.45479	-0.250
1886.53836	-0.200
1886.62329	-0.270
1886.70685	-0.270
1886.79041	-0.320
1886.87397	-0.280
1886.95753	-0.170
1887.04247	-0.520
1887.12329	-0.470
1887.20411	-0.220
1887.28767	-0.260
1887.37123	-0.260
1887.45479	-0.250
1887.53836	-0.240
1887.62329	-0.320
1887.70685	-0.230
1887.79041	-0.330
1887.87397	-0.190
1887.95753	-0.170
1888.04235	-0.320
1888.12432	-0.280
1888.20628	-0.290
1888.28962	-0.120
1888.37295	-0.150
1888.45628	-0.110
1888.53962	-0.110
1888.62432	-0.170
1888.70765	-0.090
1888.79098	0.030
1888.87432	-0.040
1888.95765	0.070
1889.04247	-0.020
1889.12329	0.030
1889.20411	0.140
1889.28767	0.080
1889.37123	-0.020
1889.45479	-0.080
1889.53836	-0.120
1889.62329	-0.150
1889.70685	-0.230
1889.79041	-0.240
1889.87397	-0.280
1889.95753	-0.140
1890.04247	-0.330
1890.12329	-0.340
1890.20411	-0.320
1890.28767	-0.280
1890.37123	-0.390
1890.45479	-0.300
1890.53836	-0.280
1890.62329	-0.390
1890.70685	-0.420
1890.79041	-0.350
1890.87397	-0.440
1890.95753	-0.280
1891.04247	-0.380
1891.12329	-0.540
1891.20411	-0.240
1891.28767	-0.250
1891.37123	-0.170
1891.45479	-0.200
1891.53836	-0.180
1891.62329	-0.210
1891.70685	-0.150
1891.79041	-0.290
1891.87397	-0.390
1891.95753	-0.060
1892.04235	-0.230
1892.12432	-0.120
1892.20628	-0.250
1892.28962	-0.330
1892.37295	-0.270
1892.45628	-0.300
1892.53962	-0.390
1892.62432	-0.340
1892.70765	-0.220
1892.79098	-0.280
1892.87432	-0.480
1892.95765	-0.450
1893.04247	-0.710
1893.12329	-0.620
1893.20411	-0.230
1893.28767	-0.350
1893.37123	-0.320
1893.45479	-0.270
1893.53836	-0.210
1893.62329	-0.310
1893.70685	-0.240
1893.79041	-0.250
1893.87397	-0.190
1893.95753	-0.250
1894.04247	-0.410
1894.12329	-0.240
1894.20411	-0.280
1894.28767	-0.390
1894.37123	-0.340
1894.45479	-0.370
1894.53836	-0.290
1894.62329	-0.300
1894.70685	-0.270
1894.79041	-0.290
1894.87397	-0.340
1894.95753	-0.250
1895.04247	-0.430
1895.12329	-0.400
1895.20411	-0.320
1895.28767	-0.190
1895.37123	-0.270
1895.45479	-0.290
1895.53836	-0.210
1895.62329	-0.240
1895.70685	-0.170
1895.79041	-0.120
1895.87397	-0.180
1895.95753	-0.120
1896.04235	-0.150
1896.12432	-0.110
1896.20628	-0.220
1896.28962	-0.240
1896.37295	-0.140
1896.45628	-0.100
1896.53962	-0.040
1896.62432	-0.040
1896.70765	-0.040
1896.79098	0.010
1896.87432	-0.160
1896.95765	0.070
1897.04247	-0.130
1897.12329	-0.100
1897.20411	-0.120
1897.28767	0.050
1897.37123	0.000
1897.45479	-0.080
1897.53836	-0.020
1897.62329	-0.090
1897.70685	-0.050
1897.79041	-0.180
1897.87397	-0.260
1897.95753	-0.240
1898.04247	-0.010
1898.12329	-0.290
1898.20411	-0.660
1898.28767	-0.380
1898.37123	-0.280
1898.45479	-0.190
1898.53836	-0.230
1898.62329	-0.240
1898.70685	-0.220
1898.79041	-0.380
1898.87397	-0.310
1898.95753	-0.100
1899.04247	-0.130
1899.12329	-0.330
1899.20411	-0.320
1899.28767	-0.190
1899.37123	-0.180
1899.45479	-0.270
1899.53836	-0.170
1899.62329	-0.100
1899.70685	-0.040
1899.79041	-0.090
1899.87397	0.110
1899.95753	-0.190
1900.04247	-0.320
1900.12329	-0.070
1900.20411	-0.040
1900.28767	-0.090
1900.37123	-0.070
1900.45479	-0.050
1900.53836	-0.100
1900.62329	-0.070
1900.70685	-0.060
1900.79041	0.070
1900.87397	-0.130
1900.95753	0.020
1901.04247	-0.130
1901.12329	-0.080
1901.20411	-0.030
1901.28767	-0.050
1901.37123	-0.110
1901.45479	-0.080
1901.53836	-0.130
1901.62329	-0.180
1901.70685	-0.250
1901.79041	-0.330
1901.87397	-0.200
1901.95753	-0.270
1902.04247	-0.110
1902.12329	-0.050
1902.20411	-0.220
1902.28767	-0.270
1902.37123	-0.290
1902.45479	-0.300
1902.53836	-0.270
1902.62329	-0.290
1902.70685	-0.280
1902.79041	-0.310
1902.87397	-0.340
1902.95753	-0.370
1903.04247	-0.240
1903.12329	-0.090
1903.20411	-0.250
1903.28767	-0.360
1903.37123	-0.410
1903.45479	-0.380
1903.53836	-0.400
1903.62329	-0.440
1903.70685	-0.460
1903.79041	-0.510
1903.87397	-0.480
1903.95753	-0.470
1904.04235	-0.600
1904.12432	-0.570
1904.20628	-0.570
1904.28962	-0.500
1904.37295	-0.460
1904.45628	-0.440
1904.53962	-0.490
1904.62432	-0.440
1904.70765	-0.480
1904.79098	-0.430
1904.87432	-0.150
1904.95765	-0.300
1905.04247	-0.350
1905.12329	-0.620
1905.20411	-0.390
1905.28767	-0.400
1905.37123	-0.260
1905.45479	-0.240
1905.53836	-0.220
1905.62329	-0.190
1905.70685	-0.210
1905.79041	-0.250
1905.87397	-0.070
1905.95753	-0.080
1906.04247	-0.140
1906.12329	-0.230
1906.20411	-0.170
1906.28767	-0.070
1906.37123	-0.220
1906.45479	-0.150
1906.53836	-0.210
1906.62329	-0.240
1906.70685	-0.280
1906.79041	-0.280
1906.87397	-0.340
1906.95753	-0.150
1907.04247	-0.370
1907.12329	-0.480
1907.20411	-0.320
1907.28767	-0.360
1907.37123	-0.460
1907.45479	-0.380
1907.53836	-0.340
1907.62329	-0.320
1907.70685	-0.360
1907.79041	-0.300
1907.87397	-0.480
1907.95753	-0.420
1908.04235	-0.380
1908.12432	-0.360
1908.20628	-0.580
1908.28962	-0.450
1908.37295	-0.390
1908.45628	-0.380
1908.53962	-0.370
1908.62432	-0.450
1908.70765	-0.370
1908.79098	-0.500
1908.87432	-0.500
1908.95765	-0.420
1909.04247	-0.580
1909.12329	-0.460
1909.20411	-0.500
1909.28767	-0.600
1909.37123	-0.490
1909.45479	-0.460
1909.53836	-0.460
1909.62329	-0.330
1909.70685	-0.340
1909.79041	-0.350
1909.87397	-0.280
1909.95753	-0.420
1910.04247	-0.350
1910.12329	-0.400
1910.20411	-0.510
1910.28767	-0.380
1910.37123	-0.310
1910.45479	-0.340
1910.53836	-0.310
1910.62329	-0.350
1910.70685	-0.360
1910.79041	-0.430
1910.87397	-0.490
1910.95753	-0.580
1911.04247	-0.540
1911.12329	-0.570
1911.20411	-0.590
1911.28767	-0.540
1911.37123	-0.520
1911.45479	-0.470
1911.53836	-0.460
1911.62329	-0.440
1911.70685	-0.390
1911.79041	-0.310
1911.87397	-0.240
1911.95753	-0.200
1912.04235	-0.270
1912.12432	-0.130
1912.20628	-0.310
1912.28962	-0.200
1912.37295	-0.190
1912.45628	-0.220
1912.53962	-0.350
1912.62432	-0.450
1912.70765	-0.520
1912.79098	-0.530
1912.87432	-0.420
1912.95765	-0.400
1913.04247	-0.350
1913.12329	-0.410
1913.20411	-0.450
1913.28767	-0.380
1913.37123	-0.390
1913.45479	-0.380
1913.53836	-0.310
1913.62329	-0.290
1913.70685	-0.330
1913.79041	-0.300
1913.87397	-0.160
1913.95753	-0.040
1914.04247	0.110
1914.12329	-0.110
1914.20411	-0.180
1914.28767	-0.250
1914.37123	-0.140
1914.45479	-0.180
1914.53836	-0.220
1914.62329	-0.200
1914.70685	-0.200
1914.79041	-0.100
1914.87397	-0.090
1914.95753	-0.080
1915.04247	-0.150
1915.12329	0.010
1915.20411	-0.080
1915.28767	0.040
1915.37123	-0.050
1915.45479	-0.130
1915.53836	-0.070
1915.62329	-0.110
1915.70685	-0.170
1915.79041	-0.230
1915.87397	-0.030
1915.95753	-0.110
1916.04235	-0.130
1916.12432	-0.160
1916.20628	-0.280
1916.28962	-0.260
1916.37295	-0.310
1916.45628	-0.400
1916.53962	-0.330
1916.62432	-0.320
1916.70765	-0.330
1916.79098	-0.270
1916.87432	-0.440
1916.95765	-0.630
1917.04247	-0.530
1917.12329	-0.570
1917.20411	-0.630
1917.28767	-0.470
1917.37123	-0.570
1917.45479	-0.390
1917.53836	-0.200
1917.62329	-0.170
1917.70685	-0.100
1917.79041	-0.330
1917.87397	-0.220
1917.95753	-0.540
1918.04247	-0.320
1918.12329	-0.380
1918.20411	-0.310
1918.28767	-0.440
1918.37123	-0.460
1918.45479	-0.350
1918.53836	-0.300
1918.62329	-0.310
1918.70685	-0.190
1918.79041	-0.110
1918.87397	-0.120
1918.95753	-0.340
1919.04247	-0.230
1919.12329	-0.110
1919.20411	-0.230
1919.28767	-0.060
1919.37123	-0.250
1919.45479	-0.280
1919.53836	-0.250
1919.62329	-0.300
1919.70685	-0.230
1919.79041	-0.240
1919.87397	-0.400
1919.95753	-0.400
1920.04235	-0.200
1920.12432	-0.320
1920.20628	-0.090
1920.28962	-0.190
1920.37295	-0.160
1920.45628	-0.250
1920.53962	-0.240
1920.62432	-0.240
1920.70765	-0.180
1920.79098	-0.230
1920.87432	-0.230
1920.95765	-0.430
1921.04247	-0.080
1921.12329	-0.180
1921.20411	-0.250
1921.28767	-0.210
1921.37123	-0.230
1921.45479	-0.170
1921.53836	-0.130
1921.62329	-0.220
1921.70685	-0.140
1921.79041	-0.060
1921.87397	-0.160
1921.95753	-0.100
1922.04247	-0.310
1922.12329	-0.310
1922.20411	-0.110
1922.28767	-0.160
1922.37123	-0.300
1922.45479	-0.270
1922.53836	-0.250
1922.62329	-0.300
1922.70685	-0.320
1922.79041	-0.270
1922.87397	-0.150
1922.95753	-0.200
1923.04247	-0.240
1923.12329	-0.420
1923.20411	-0.330
1923.28767	-0.380
1923.37123	-0.270
1923.45479	-0.230
1923.53836	-0.300
1923.62329	-0.330
1923.70685	-0.280
1923.79041	-0.180
1923.87397	-0.020
1923.95753	0.000
1924.04235	-0.220
1924.12432	-0.180
1924.20628	-0.080
1924.28962	-0.230
1924.37295	-0.150
1924.45628	-0.200
1924.53962	-0.230
1924.62432	-0.310
1924.70765	-0.290
1924.79098	-0.310
1924.87432	-0.290
1924.95765	-0.410
1925.04247	-0.400
1925.12329	-0.390
1925.20411	-0.240
1925.28767	-0.180
1925.37123	-0.210
1925.45479	-0.230
1925.53836	-0.210
1925.62329	-0.150
1925.70685	-0.130
1925.79041	-0.160
1925.87397	0.050
1925.95753	0.120
1926.04247	0.130
1926.12329	0.030
1926.20411	0.060
1926.28767	-0.130
1926.37123	-0.120
1926.45479	-0.100
1926.53836	-0.190
1926.62329	-0.100
1926.70685	-0.100
1926.79041	-0.070
1926.87397	-0.080
1926.95753	-0.210
1927.04247	-0.230
1927.12329	-0.190
1927.20411	-0.300
1927.28767	-0.250
1927.37123	-0.220
1927.45479	-0.190
1927.53836	-0.130
1927.62329	-0.150
