# YYYY MM DD  Total  North  South
# Time base:   1
# Time unit:   d
# Point count: 51728
t/a	At/µhsp	An/µhsp	As/µhsp
1880.0068306	107.0	107.0	0.0
1880.0095628	173.0	110.0	63.0
1880.0122951	387.0	279.0	108.0
1880.0150273	337.0	274.0	63.0
1880.0177596	478.0	412.0	66.0
1880.0204918	355.0	355.0	0.0
1880.0232240	421.0	421.0	0.0
1880.0259563	500.0	492.0	8.0
1880.0286885	428.0	428.0	0.0
1880.0314208	482.0	384.0	98.0
1880.0341530	573.0	427.0	146.0
1880.0368852	1010.0	334.0	676.0
1880.0396175	774.0	19.0	755.0
1880.0423497	580.0	0.0	580.0
1880.0450820	447.0	0.0	447.0
1880.0478142	301.0	0.0	301.0
1880.0505464	156.0	0.0	156.0
1880.0532787	82.0	0.0	82.0
1880.0560109	59.0	0.0	59.0
1880.0587432	0.0	0.0	0.0
1880.0614754	0.0	0.0	0.0
1880.0642077	5.0	5.0	0.0
1880.0669399	0.0	0.0	0.0
1880.0696721	14.0	14.0	0.0
1880.0724044	0.0	0.0	0.0
1880.0751366	0.0	0.0	0.0
1880.0778689	0.0	0.0	0.0
1880.0806011	642.0	448.0	194.0
1880.0833333	746.0	547.0	199.0
1880.0860656	902.0	704.0	198.0
1880.0887978	533.0	376.0	157.0
1880.0915301	847.0	675.0	172.0
1880.0942623	711.0	575.0	136.0
1880.0969945	685.0	541.0	144.0
1880.0997268	683.0	547.0	136.0
1880.1024590	694.0	574.0	120.0
1880.1051913	608.0	513.0	95.0
1880.1079235	770.0	699.0	71.0
1880.1106557	564.0	516.0	48.0
1880.1133880	644.0	644.0	0.0
1880.1161202	345.0	345.0	0.0
1880.1188525	241.0	241.0	0.0
1880.1215847	0.0	0.0	0.0
1880.1243169	0.0	0.0	0.0
1880.1270492	0.0	0.0	0.0
1880.1297814	0.0	0.0	0.0
1880.1325137	0.0	0.0	0.0
1880.1352459	0.0	0.0	0.0
1880.1379781	0.0	0.0	0.0
1880.1407104	66.0	0.0	66.0
1880.1434426	236.0	8.0	228.0
1880.1461749	281.0	0.0	281.0
1880.1489071	184.0	0.0	184.0
1880.1516393	183.0	0.0	183.0
1880.1543716	170.0	0.0	170.0
1880.1571038	142.0	0.0	142.0
1880.1598361	153.0	0.0	153.0
1880.1625683	149.0	0.0	149.0
1880.1653005	168.0	30.0	138.0
1880.1680328	222.0	55.0	167.0
1880.1707650	246.0	63.0	183.0
1880.1734973	127.0	0.0	127.0
1880.1762295	0.0	0.0	0.0
1880.1789617	54.0	0.0	54.0
1880.1816940	47.0	0.0	47.0
1880.1844262	155.0	108.0	47.0
1880.1871585	227.0	210.0	17.0
1880.1898907	131.0	111.0	20.0
1880.1926230	180.0	102.0	78.0
1880.1953552	164.0	164.0	0.0
1880.1980874	317.0	254.0	63.0
1880.2008197	589.0	502.0	87.0
1880.2035519	358.0	286.0	72.0
1880.2062842	209.0	157.0	52.0
1880.2090164	173.0	123.0	50.0
1880.2117486	207.0	174.0	33.0
1880.2144809	13.0	0.0	13.0
1880.2172131	0.0	0.0	0.0
1880.2199454	0.0	0.0	0.0
1880.2226776	0.0	0.0	0.0
1880.2254098	0.0	0.0	0.0
1880.2281421	0.0	0.0	0.0
1880.2308743	0.0	0.0	0.0
1880.2336066	0.0	0.0	0.0
1880.2363388	18.0	0.0	18.0
1880.2390710	53.0	0.0	53.0
1880.2418033	87.0	0.0	87.0
1880.2445355	389.0	275.0	114.0
1880.2472678	289.0	205.0	84.0
1880.2500000	154.0	138.0	16.0
1880.2527322	193.0	193.0	0.0
1880.2554645	199.0	199.0	0.0
1880.2581967	196.0	196.0	0.0
1880.2609290	193.0	193.0	0.0
1880.2636612	176.0	176.0	0.0
1880.2663934	179.0	179.0	0.0
1880.2691257	103.0	103.0	0.0
1880.2718579	78.0	78.0	0.0
1880.2745902	145.7	52.0	93.7
1880.2773224	213.3	26.0	187.3
1880.2800546	281.0	0.0	281.0
1880.2827869	224.0	0.0	224.0
1880.2855191	216.0	0.0	216.0
1880.2882514	145.0	0.0	145.0
1880.2909836	39.0	0.0	39.0
1880.2937158	0.0	0.0	0.0
1880.2964481	0.0	0.0	0.0
1880.2991803	0.0	0.0	0.0
1880.3019126	0.0	0.0	0.0
1880.3046448	0.0	0.0	0.0
1880.3073770	0.0	0.0	0.0
1880.3101093	0.0	0.0	0.0
1880.3128415	0.0	0.0	0.0
1880.3155738	900.0	900.0	0.0
1880.3183060	741.0	741.0	0.0
1880.3210383	765.0	765.0	0.0
1880.3237705	958.0	958.0	0.0
1880.3265027	408.0	408.0	0.0
1880.3292350	354.0	354.0	0.0
1880.3319672	266.0	266.0	0.0
1880.3346995	761.0	761.0	0.0
1880.3374317	634.0	634.0	0.0
1880.3401639	545.0	545.0	0.0
1880.3428962	476.0	476.0	0.0
1880.3456284	429.0	429.0	0.0
1880.3483607	370.0	350.0	20.0
1880.3510929	482.0	482.0	0.0
1880.3538251	422.0	422.0	0.0
1880.3565574	609.0	609.0	0.0
1880.3592896	433.0	433.0	0.0
1880.3620219	392.0	392.0	0.0
1880.3647541	475.0	475.0	0.0
1880.3674863	512.0	512.0	0.0
1880.3702186	0.0	0.0	0.0
1880.3729508	0.0	0.0	0.0
1880.3756831	0.0	0.0	0.0
1880.3784153	0.0	0.0	0.0
1880.3811475	0.0	0.0	0.0
1880.3838798	70.0	70.0	0.0
1880.3866120	28.0	28.0	0.0
1880.3893443	0.0	0.0	0.0
1880.3920765	0.0	0.0	0.0
1880.3948087	93.0	93.0	0.0
1880.3975410	320.0	320.0	0.0
1880.4002732	576.0	576.0	0.0
1880.4030055	691.0	691.0	0.0
1880.4057377	792.0	792.0	0.0
1880.4084699	937.0	937.0	0.0
1880.4112022	1237.0	1237.0	0.0
1880.4139344	1128.0	1128.0	0.0
1880.4166667	759.0	759.0	0.0
1880.4193989	345.0	345.0	0.0
1880.4221311	285.0	285.0	0.0
1880.4248634	72.0	72.0	0.0
1880.4275956	0.0	0.0	0.0
1880.4303279	44.0	44.0	0.0
1880.4330601	17.0	17.0	0.0
1880.4357923	76.0	34.0	42.0
1880.4385246	113.0	66.0	47.0
1880.4412568	134.0	106.0	28.0
1880.4439891	77.0	48.0	29.0
1880.4467213	66.0	66.0	0.0
1880.4494536	0.0	0.0	0.0
1880.4521858	0.0	0.0	0.0
1880.4549180	190.0	190.0	0.0
1880.4576503	176.0	176.0	0.0
1880.4603825	619.0	252.0	367.0
1880.4631148	757.0	270.0	487.0
1880.4658470	959.0	426.0	533.0
1880.4685792	912.0	157.0	755.0
1880.4713115	994.0	177.0	817.0
1880.4740437	865.0	115.0	750.0
1880.4767760	1167.0	96.0	1071.0
1880.4795082	1084.0	0.0	1084.0
1880.4822404	1076.0	0.0	1076.0
1880.4849727	1258.0	0.0	1258.0
1880.4877049	1475.0	0.0	1475.0
1880.4904372	583.0	0.0	583.0
1880.4931694	287.0	20.0	267.0
1880.4959016	255.0	0.0	255.0
1880.4986339	245.0	0.0	245.0
1880.5013661	247.0	0.0	247.0
1880.5040984	305.0	0.0	305.0
1880.5068306	351.0	0.0	351.0
1880.5095628	196.0	0.0	196.0
1880.5122951	171.0	0.0	171.0
1880.5150273	387.0	0.0	387.0
1880.5177596	603.0	0.0	603.0
1880.5204918	328.0	0.0	328.0
1880.5232240	17.0	0.0	17.0
1880.5259563	10.0	0.0	10.0
1880.5286885	0.0	0.0	0.0
1880.5314208	26.0	0.0	26.0
1880.5341530	0.0	0.0	0.0
1880.5368852	0.0	0.0	0.0
1880.5396175	0.0	0.0	0.0
1880.5423497	0.0	0.0	0.0
1880.5450820	0.0	0.0	0.0
1880.5478142	0.0	0.0	0.0
1880.5505464	199.0	199.0	0.0
1880.5532787	385.0	385.0	0.0
1880.5560109	542.0	542.0	0.0
1880.5587432	570.0	570.0	0.0
1880.5614754	447.0	447.0	0.0
1880.5642077	357.0	357.0	0.0
1880.5669399	315.0	315.0	0.0
1880.5696721	305.0	305.0	0.0
1880.5724044	258.0	258.0	0.0
1880.5751366	68.0	68.0	0.0
1880.5778689	37.0	37.0	0.0
1880.5806011	19.0	19.0	0.0
1880.5833333	390.5	390.5	0.0
1880.5860656	762.0	762.0	0.0
1880.5887978	727.0	727.0	0.0
1880.5915301	740.0	740.0	0.0
1880.5942623	806.0	806.0	0.0
1880.5969945	609.0	609.0	0.0
1880.5997268	713.0	713.0	0.0
1880.6024590	941.0	865.0	76.0
1880.6051913	1180.0	982.0	198.0
1880.6079235	1334.0	1095.0	239.0
1880.6106557	1272.0	1136.0	136.0
1880.6133880	1388.0	1167.0	221.0
1880.6161202	1148.0	854.0	294.0
1880.6188525	849.0	539.0	310.0
1880.6215847	830.0	503.0	327.0
1880.6243169	894.0	551.0	343.0
1880.6270492	829.0	496.0	333.0
1880.6297814	969.0	617.0	352.0
1880.6325137	1004.0	788.0	216.0
1880.6352459	1063.0	926.0	137.0
1880.6379781	915.0	915.0	0.0
1880.6407104	664.0	664.0	0.0
1880.6434426	867.0	867.0	0.0
1880.6461749	108.0	108.0	0.0
1880.6489071	142.8	133.8	9.0
1880.6516393	177.5	159.5	18.0
1880.6543716	212.2	185.2	27.0
1880.6571038	247.0	211.0	36.0
1880.6598361	199.0	199.0	0.0
1880.6625683	448.0	448.0	0.0
1880.6653005	669.0	669.0	0.0
1880.6680328	555.0	555.0	0.0
